run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,run_time_ns_before,run_time_ns_after,delta_run_time_ns,elapsed_s,mpps,ns_per_pkt
1,2858,1268383778,1343445735,75061957,168150779164,174445135941,6294356777,10.003070354,7.503892,83.855485
2,2858,1384198860,1459244082,75045222,177866728055,184149143229,6282415174,10.003028870,7.502250,83.715059
3,2858,1500146341,1575243009,75096668,187569422322,193862867738,6293445416,10.003133059,7.507315,83.804589
4,2858,1615976449,1691014148,75037699,197287250738,203576811205,6289560467,10.002944231,7.501561,83.818674
5,2858,1731749638,1806645685,74896047,207000736189,213297037501,6296301312,10.002999544,7.487359,84.067205
6,2858,1847413105,1922444084,75030979,216720977379,223023137754,6302160375,10.003147602,7.500737,83.994111
7,2858,1963205780,2038178331,74972551,226447950805,232750318848,6302368043,10.002958536,7.495038,84.062340
8,2858,2078931181,2153945640,75014459,236174368862,242480508023,6306139161,10.003045082,7.499162,84.065649
9,2858,2194752049,2269775736,75023687,245904769750,252208617367,6303847617,10.002702713,7.500342,84.024764
10,2858,2310538906,2385683337,75144431,255637253690,261937369405,6300115715,10.002977133,7.512207,83.840088
