run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,instructions,instructions_per_pkt
1,2306,91721594,108653075,16931481,12696683805,749.886192
2,2306,130567369,147634786,17067417,12698378658,744.012914
3,2306,169544374,188262576,18718202,12725325573,679.836962
4,2306,210165232,227124728,16959496,12730947517,750.667798
5,2306,249023839,265980142,16956303,12766265905,752.892061
6,2306,287908829,304832016,16923187,12702668398,750.607341
7,2306,326732647,343707834,16975187,12746456976,750.887573
8,2306,365606650,382555448,16948798,12725064743,750.794525
9,2306,404455252,421424747,16969495,12744089608,750.999933
10,2306,443327824,460253240,16925416,12708149301,750.832316
