run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,instructions,instructions_per_pkt
1,2872,2523272480,2538591174,15318694,11910795346,777.533342
2,2872,2560478852,2575819067,15340215,11947741414,778.850975
3,2872,2597748224,2613108440,15360216,11902760172,774.908385
4,2872,2634988018,2650310616,15322598,11916945662,777.736625
5,2872,2672177392,2687505973,15328581,11926100494,778.030301
6,2872,2709375123,2724708056,15332933,11930814617,778.116921
7,2872,2746583248,2761924824,15341576,11937397079,778.107613
8,2872,2783798761,2799147351,15348590,11942614059,778.091933
9,2872,2821030518,2836355527,15325009,11917543401,777.653273
10,2872,2858228543,2873564892,15336349,11928638181,777.801691
