run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,run_time_ns_before,run_time_ns_after,delta_run_time_ns,elapsed_s,mpps,ns_per_pkt
1,2872,5230705626,5276933956,46228330,869348452440,877442076221,8093623781,10.003046751,4.621425,175.079303
2,2872,5302011114,5348236463,46225349,881836063272,889929314045,8093250773,10.002747059,4.621265,175.082524
3,2872,5373370514,5419578264,46207750,894328908725,902423084050,8094175325,10.002681494,4.619536,175.169216
4,2872,5444720033,5490851498,46131465,906824403082,914909163868,8084760786,10.002632141,4.611933,175.254802
5,2872,5515953333,5562116822,46163489,919301101203,927384639739,8083538536,10.003253222,4.614848,175.106750
6,2872,5587204576,5633416349,46211773,931780428244,939871229890,8090801646,10.002666950,4.619945,175.080961
7,2872,5658515812,5704694889,46179077,944266698045,952352683985,8085985940,10.002855539,4.616589,175.100640
8,2872,5729798875,5775987078,46188203,956747986830,964838243957,8090257127,10.003094196,4.617392,175.158517
9,2872,5801116384,5847326441,46210057,969237391908,977332889510,8095497602,10.003197670,4.619529,175.189085
10,2872,5872466934,5918714695,46247761,981731389441,989826327012,8094937571,10.003225565,4.623285,175.034151
