run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,instructions,instructions_per_pkt
1,91,3429368782,3444736385,15367603,12179946022,792.572923
2,91,3466601505,3481876087,15274582,12087412240,791.341605
3,91,3503796333,3519088044,15291711,12128987145,793.173972
4,91,3540950995,3556226859,15275864,12102575146,792.267799
5,91,3578169232,3593535080,15365848,12197049029,793.776499
6,91,3615411964,3630716964,15305000,12128375321,792.445300
7,91,3652591400,3667944400,15353000,12180174244,793.341643
8,91,3689790630,3705138519,15347889,12189879960,794.238215
9,91,3727020658,3742384538,15363880,12208642949,794.632798
10,91,3764256973,3779633647,15376674,12193103104,792.961020
