run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,run_time_ns_before,run_time_ns_after,delta_run_time_ns,elapsed_s,mpps,ns_per_pkt
1,91,374571595,422946304,48374709,61795685890,69732026682,7936340792,10.003210068,4.835919,164.059711
2,91,449179331,497467166,48287835,74037590127,81961208439,7923618312,10.003038406,4.827317,164.091397
3,91,523711888,572009024,48297136,86266681399,94190987672,7924306273,10.002567530,4.828474,164.074041
4,91,598268551,646563010,48294459,98498686242,106420675579,7921989337,10.002717495,4.828134,164.035161
5,91,672807880,721121988,48314108,110726501412,118651984812,7925483400,10.002735615,4.830089,164.040768
6,91,747369279,795685825,48316546,122960154733,130890935335,7930780602,10.002859831,4.830273,164.142126
7,91,821952592,870264664,48312072,135203645683,143133282827,7929637144,10.003007412,4.829755,164.133659
8,91,896535304,944813790,48278486,147443356212,155366935445,7923579233,10.002835512,4.826480,164.122364
9,91,971046848,1019381385,48334537,159673527056,167607446296,7933919240,10.003186226,4.831914,164.145965
10,91,1045631753,1093924232,48292479,171916958433,179842068159,7925109726,10.003370523,4.827621,164.106500
