run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,run_time_ns_before,run_time_ns_after,delta_run_time_ns,elapsed_s,mpps,ns_per_pkt
1,2865,1258169594,1306095696,47926102,255125898787,263089759498,7963860711,10.003202200,4.791076,166.169590
2,2865,1332150557,1380050655,47900098,267422637904,275385158707,7962520803,10.003187418,4.788484,166.231827
3,2865,1406091722,1453971907,47880185,279712658361,287672934595,7960276234,10.002749920,4.786702,166.254083
4,2865,1479987303,1527861318,47874015,292002096450,299962808081,7960711631,10.002803802,4.786060,166.284604
5,2865,1553876297,1601801118,47924821,304289592690,312257886262,7968293572,10.002936363,4.791075,166.266528
6,2865,1627917390,1675805898,47888508,316595257103,324554866761,7959609658,10.003069639,4.787381,166.211268
7,2865,1701850570,1749755316,47904746,328884902119,336849609599,7964707480,10.003068686,4.789005,166.261345
8,2865,1775793427,1823811866,48018439,341178543400,349149422569,7970879169,10.003014326,4.800397,165.996216
9,2865,1849905608,1897923360,48017752,353482319625,361460891807,7978572182,10.002715349,4.800472,166.158803
10,2865,1924052182,1971976814,47924632,365803042944,373766816103,7963773159,10.003190994,4.790934,166.172860
