run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,instructions,instructions_per_pkt
1,2582,102256272,117685090,15428818,11567566688,749.737711
2,2582,139583112,155029423,15446311,11608547399,751.541737
3,2582,176938453,192301752,15363299,11516247487,749.594699
4,2582,214224496,229654767,15430271,11602650246,751.940795
5,2582,251604464,267037462,15432998,11616238199,752.688376
6,2582,288951408,304401008,15449600,11590088773,750.186980
7,2582,326313782,341739609,15425827,11587235077,751.158111
8,2582,363657874,379075739,15417865,11578721334,750.993820
9,2582,400994676,416413653,15418977,11601717352,752.431069
10,2582,438330031,453768831,15438800,11607245959,751.823066
