run,prog_id,run_cnt_before,run_cnt_after,delta_run_cnt,run_time_ns_before,run_time_ns_after,delta_run_time_ns,elapsed_s,mpps,ns_per_pkt
1,84,603126201,652128431,49002230,97315634428,105199218214,7883583786,10.003114462,4.898697,160.882143
2,84,678760748,727788667,49027919,109486388705,117372712006,7886323301,10.003190517,4.901228,160.853723
3,84,754445741,803466752,49021011,121660276741,129548162790,7887886049,10.003019810,4.900621,160.908269
4,84,830123661,879136008,49012347,133835143944,141722234750,7887090806,10.002758741,4.899883,160.920488
5,84,905786775,954893964,49107189,146009052546,153903258425,7894205879,10.003043413,4.909225,160.754587
6,84,981592682,1030691133,49098451,158192212434,166084411883,7892199449,10.003216982,4.908266,160.742331
7,84,1057395536,1106508471,49112935,170378829109,178270960915,7892131806,10.002924919,4.909857,160.693549
8,84,1133179529,1182206800,49027271,182560438122,190443378695,7882940573,10.003159046,4.901179,160.786852
9,84,1208837577,1257893561,49055984,194728907044,202625493722,7896586678,10.003278732,4.903991,160.970916
10,84,1284556038,1333548208,48992170,206917687317,214802904820,7885217503,10.003054857,4.897721,160.948525
