seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
2,1,2,cms,full,kfunc,16322,10.003145,37023586,3.701195,8546416736,230.837087,250.54,14997793748,59861526
3,1,3,cms,full,kfunc,16366,10.003334,37117171,3.710480,8559392862,230.604667,249.99,15704964737,62822183
5,2,1,cms,full,kfunc,16454,10.003310,36159046,3.614708,8623657197,238.492387,265.42,16437604192,61929765
8,2,4,cms,full,kfunc,16586,10.003270,36660827,3.664884,8107586582,221.151219,242.93,15230794246,62696554
10,3,2,cms,full,kfunc,16674,10.003125,39010998,3.899881,8490958558,217.655507,237.16,15323611653,64612669
11,3,3,cms,full,kfunc,16718,10.003319,38983124,3.897019,8514513199,218.415364,238.92,15436866137,64611913
13,4,1,cms,full,kfunc,16806,10.003418,37064204,3.705154,8574435434,231.340067,250.79,15745502652,62784563
16,4,4,cms,full,kfunc,16938,10.003130,38964012,3.895182,8487724748,217.834979,237.99,15774788187,66283246
18,5,2,cms,full,kfunc,17026,10.003139,38845469,3.883328,8513489829,219.163008,240.82,15406906538,63977756
19,5,3,cms,full,kfunc,17070,10.003172,36654136,3.664251,8112413991,221.323291,7669.79,485474698086,63296958
