seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,cms,full,native,16278,10.003083,38139615,3.812786,8371508346,219.496404,244.33,16022737972,65577044
2,1,2,cms,full,kfunc,16322,10.003145,37023586,3.701195,8546416736,230.837087,250.54,14997793748,59861526
3,1,3,cms,full,kfunc,16366,10.003334,37117171,3.710480,8559392862,230.604667,249.99,15704964737,62822183
4,1,4,cms,full,native,16410,10.003212,37687949,3.767585,8395944275,222.775303,250.44,16151205554,64491960
5,2,1,cms,full,kfunc,16454,10.003310,36159046,3.614708,8623657197,238.492387,265.42,16437604192,61929765
6,2,2,cms,full,native,16498,10.003251,35744158,3.573254,8092100664,226.389461,256.55,15837188486,61731886
7,2,3,cms,full,native,16542,10.003056,36193065,3.618201,8100032933,223.800690,250.25,15489026537,61893505
8,2,4,cms,full,kfunc,16586,10.003270,36660827,3.664884,8107586582,221.151219,242.93,15230794246,62696554
9,3,1,cms,full,native,16630,10.003357,38387862,3.837498,8367712127,217.978071,242.30,16058697931,66275125
10,3,2,cms,full,kfunc,16674,10.003125,39010998,3.899881,8490958558,217.655507,237.16,15323611653,64612669
11,3,3,cms,full,kfunc,16718,10.003319,38983124,3.897019,8514513199,218.415364,238.92,15436866137,64611913
12,3,4,cms,full,native,16762,10.003325,37722237,3.770970,7989823745,211.806732,237.88,15250990853,64112992
13,4,1,cms,full,kfunc,16806,10.003418,37064204,3.705154,8574435434,231.340067,250.79,15745502652,62784563
14,4,2,cms,full,native,16850,10.003340,36484244,3.647206,8068420421,221.148078,250.40,15781044333,63024257
15,4,3,cms,full,native,16894,10.003252,37800662,3.778837,8399609751,222.208007,4944.71,322835473957,65289118
16,4,4,cms,full,kfunc,16938,10.003130,38964012,3.895182,8487724748,217.834979,237.99,15774788187,66283246
17,5,1,cms,full,native,16982,10.003286,36301463,3.628954,8073238195,222.394293,247.37,15514097322,62717402
18,5,2,cms,full,kfunc,17026,10.003139,38845469,3.883328,8513489829,219.163008,240.82,15406906538,63977756
19,5,3,cms,full,kfunc,17070,10.003172,36654136,3.664251,8112413991,221.323291,7669.79,485474698086,63296958
20,5,4,cms,full,native,17114,10.003069,38171808,3.816010,8384707973,219.657082,8004.61,527723968857,65927480
