seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
2,1,2,drop,full,kfunc,15442,10.003284,50728977,5.071232,7740254991,152.580546,75.02,6394969758,85241766
3,1,3,drop,full,kfunc,15486,10.003342,51349548,5.133239,7263763202,141.457198,65.05,5600239705,86092877
5,2,1,drop,full,kfunc,15574,10.003283,50690092,5.067346,7746771128,152.826141,71.33,6244328005,87537666
8,2,4,drop,full,kfunc,15706,10.003342,51092580,5.107551,7237210097,141.648946,65.06,5523713998,84907927
10,3,2,drop,full,kfunc,15794,10.003359,54048954,5.403080,7581856630,140.277583,65.11,5950916391,91397315
11,3,3,drop,full,kfunc,15838,10.003317,50867170,5.085030,7745590185,152.270908,75.23,6412083317,85236546
13,4,1,drop,full,kfunc,15926,10.003337,50985287,5.096828,7698633737,150.997164,77.10,6684431639,86699626
16,4,4,drop,full,kfunc,16058,10.003333,51264906,5.124782,7252700005,141.474950,65.05,5713215170,87830567
18,5,2,drop,full,kfunc,16146,10.003146,54177068,5.416003,7570942873,139.744419,65.05,5851649678,89955961
19,5,3,drop,full,kfunc,16190,10.003185,51520458,5.150405,7249692560,140.714831,65.06,5452709016,83808978
