seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,drop,full,native,15398,10.003116,53700379,5.368365,7428263455,138.327952,65.74,6102315770,92828780
4,1,4,drop,full,native,15530,10.003349,53458448,5.344055,7384290248,138.131400,62.24,5747407980,92344256
6,2,2,drop,full,native,15618,10.003414,53431302,5.341307,7381494098,138.149246,62.56,5777460385,92351072
7,2,3,drop,full,native,15662,10.003191,53843331,5.382615,6950540277,129.088230,60.67,5644143965,93035132
9,3,1,drop,full,native,15750,10.003296,53491842,5.347422,7331971594,137.067099,62.99,5823346016,92442649
12,3,4,drop,full,native,15882,10.002967,57283340,5.726635,7316210853,127.719697,60.57,5905545016,97496040
14,4,2,drop,full,native,15970,10.003305,53741093,5.372334,7417367051,138.020398,65.66,6095049471,92825435
15,4,3,drop,full,native,16014,10.003299,51149439,5.113257,7076260261,138.344826,63.27,5508183643,87053465
17,5,1,drop,full,native,16102,10.003321,53995183,5.397726,6944413881,128.611730,60.64,5656950326,93288905
20,5,4,drop,full,native,16234,10.003435,53283573,5.326528,7379850524,138.501420,62.59,5763590447,92077548
