seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,drop,full,native,15398,10.003116,53700379,5.368365,7428263455,138.327952,65.74,6102315770,92828780
2,1,2,drop,full,kfunc,15442,10.003284,50728977,5.071232,7740254991,152.580546,75.02,6394969758,85241766
3,1,3,drop,full,kfunc,15486,10.003342,51349548,5.133239,7263763202,141.457198,65.05,5600239705,86092877
4,1,4,drop,full,native,15530,10.003349,53458448,5.344055,7384290248,138.131400,62.24,5747407980,92344256
5,2,1,drop,full,kfunc,15574,10.003283,50690092,5.067346,7746771128,152.826141,71.33,6244328005,87537666
6,2,2,drop,full,native,15618,10.003414,53431302,5.341307,7381494098,138.149246,62.56,5777460385,92351072
7,2,3,drop,full,native,15662,10.003191,53843331,5.382615,6950540277,129.088230,60.67,5644143965,93035132
8,2,4,drop,full,kfunc,15706,10.003342,51092580,5.107551,7237210097,141.648946,65.06,5523713998,84907927
9,3,1,drop,full,native,15750,10.003296,53491842,5.347422,7331971594,137.067099,62.99,5823346016,92442649
10,3,2,drop,full,kfunc,15794,10.003359,54048954,5.403080,7581856630,140.277583,65.11,5950916391,91397315
11,3,3,drop,full,kfunc,15838,10.003317,50867170,5.085030,7745590185,152.270908,75.23,6412083317,85236546
12,3,4,drop,full,native,15882,10.002967,57283340,5.726635,7316210853,127.719697,60.57,5905545016,97496040
13,4,1,drop,full,kfunc,15926,10.003337,50985287,5.096828,7698633737,150.997164,77.10,6684431639,86699626
14,4,2,drop,full,native,15970,10.003305,53741093,5.372334,7417367051,138.020398,65.66,6095049471,92825435
15,4,3,drop,full,native,16014,10.003299,51149439,5.113257,7076260261,138.344826,63.27,5508183643,87053465
16,4,4,drop,full,kfunc,16058,10.003333,51264906,5.124782,7252700005,141.474950,65.05,5713215170,87830567
17,5,1,drop,full,native,16102,10.003321,53995183,5.397726,6944413881,128.611730,60.64,5656950326,93288905
18,5,2,drop,full,kfunc,16146,10.003146,54177068,5.416003,7570942873,139.744419,65.05,5851649678,89955961
19,5,3,drop,full,kfunc,16190,10.003185,51520458,5.150405,7249692560,140.714831,65.06,5452709016,83808978
20,5,4,drop,full,native,16234,10.003435,53283573,5.326528,7379850524,138.501420,62.59,5763590447,92077548
