seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
2,1,2,nat,full,kfunc,18962,10.003265,21019739,2.101288,7277310243,346.213159,521.13,18061357734,34658366
3,1,3,nat,full,kfunc,19006,10.003100,21612940,2.160624,7176956897,332.067590,488.39,18191362680,37247266
5,2,1,nat,full,kfunc,19094,10.003093,21136964,2.113043,7254130486,343.196425,514.92,18193714297,35332828
8,2,4,nat,full,kfunc,19226,10.003381,21489192,2.148193,7191332383,334.648803,493.49,17965983818,36405694
10,3,2,nat,full,kfunc,19314,10.003328,21288093,2.128101,7231793596,339.710729,506.67,17807508395,35145859
11,3,3,nat,full,kfunc,19358,10.003265,20281540,2.027492,6940734980,342.219328,511.72,16981325204,33184720
13,4,1,nat,full,kfunc,19446,10.003407,20168064,2.016119,7415311970,367.675944,541.26,18295379802,33801644
16,4,4,nat,full,kfunc,19578,10.003290,21333062,2.132604,7216997670,338.301069,503.18,17831681731,35438179
18,5,2,nat,full,kfunc,19666,10.003355,20263478,2.025668,7390364145,364.713508,532.39,18295170121,34364374
19,5,3,nat,full,kfunc,19710,10.003399,20265070,2.025818,7381591222,364.251948,531.78,18164703174,34158096
