seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,nat,full,native,18918,10.003079,14293637,1.428924,6825323910,477.507853,726.38,17946648129,24706814
4,1,4,nat,full,native,19050,10.003377,20782242,2.077523,6737557452,324.197815,41537.55,1490448134036,35881942
6,2,2,nat,full,native,19138,10.003417,21980296,2.197279,7111144665,323.523608,491.37,18599935868,37853352
7,2,3,nat,full,native,19182,10.003211,20695109,2.068847,6743355977,325.842979,492.17,17555997871,35670462
9,3,1,nat,full,native,19270,10.003400,20457559,2.045061,7282738815,355.992561,47977.98,1696895602677,35368216
12,3,4,nat,full,native,19402,10.003398,20770797,2.076374,7226558047,347.919150,515.07,18483778722,35885760
14,4,2,nat,full,native,19490,10.003183,20767499,2.076089,6816410849,328.224927,52994.98,1898640306387,35826794
15,4,3,nat,full,native,19534,10.003356,20792190,2.078521,7237844044,348.103978,54035.86,1940775248706,35916429
17,5,1,nat,full,native,19622,10.003195,21831056,2.182408,7128159524,326.514646,493.06,18420254005,37359244
20,5,4,nat,full,native,19754,10.003364,20802516,2.079552,6794837504,326.635370,59767.00,2144121014486,35874659
