seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,nat,full,native,18918,10.003079,14293637,1.428924,6825323910,477.507853,726.38,17946648129,24706814
2,1,2,nat,full,kfunc,18962,10.003265,21019739,2.101288,7277310243,346.213159,521.13,18061357734,34658366
3,1,3,nat,full,kfunc,19006,10.003100,21612940,2.160624,7176956897,332.067590,488.39,18191362680,37247266
4,1,4,nat,full,native,19050,10.003377,20782242,2.077523,6737557452,324.197815,41537.55,1490448134036,35881942
5,2,1,nat,full,kfunc,19094,10.003093,21136964,2.113043,7254130486,343.196425,514.92,18193714297,35332828
6,2,2,nat,full,native,19138,10.003417,21980296,2.197279,7111144665,323.523608,491.37,18599935868,37853352
7,2,3,nat,full,native,19182,10.003211,20695109,2.068847,6743355977,325.842979,492.17,17555997871,35670462
8,2,4,nat,full,kfunc,19226,10.003381,21489192,2.148193,7191332383,334.648803,493.49,17965983818,36405694
9,3,1,nat,full,native,19270,10.003400,20457559,2.045061,7282738815,355.992561,47977.98,1696895602677,35368216
10,3,2,nat,full,kfunc,19314,10.003328,21288093,2.128101,7231793596,339.710729,506.67,17807508395,35145859
11,3,3,nat,full,kfunc,19358,10.003265,20281540,2.027492,6940734980,342.219328,511.72,16981325204,33184720
12,3,4,nat,full,native,19402,10.003398,20770797,2.076374,7226558047,347.919150,515.07,18483778722,35885760
13,4,1,nat,full,kfunc,19446,10.003407,20168064,2.016119,7415311970,367.675944,541.26,18295379802,33801644
14,4,2,nat,full,native,19490,10.003183,20767499,2.076089,6816410849,328.224927,52994.98,1898640306387,35826794
15,4,3,nat,full,native,19534,10.003356,20792190,2.078521,7237844044,348.103978,54035.86,1940775248706,35916429
16,4,4,nat,full,kfunc,19578,10.003290,21333062,2.132604,7216997670,338.301069,503.18,17831681731,35438179
17,5,1,nat,full,native,19622,10.003195,21831056,2.182408,7128159524,326.514646,493.06,18420254005,37359244
18,5,2,nat,full,kfunc,19666,10.003355,20263478,2.025668,7390364145,364.713508,532.39,18295170121,34364374
19,5,3,nat,full,kfunc,19710,10.003399,20265070,2.025818,7381591222,364.251948,531.78,18164703174,34158096
20,5,4,nat,full,native,19754,10.003364,20802516,2.079552,6794837504,326.635370,59767.00,2144121014486,35874659
