seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
2,1,2,routing,full,kfunc,17202,10.003191,26076901,2.606858,8770993812,336.351080,496.28,22351727456,45038636
3,1,3,routing,full,kfunc,17246,10.003319,25794002,2.578544,9273591944,359.525131,528.22,22822246862,43205687
5,2,1,routing,full,kfunc,17334,10.003022,25971661,2.596381,9261711670,356.608369,522.92,23246773784,44456041
8,2,4,routing,full,kfunc,17466,10.003025,26010889,2.600302,9266312431,356.247433,523.16,22583745398,43167645
10,3,2,routing,full,kfunc,17554,10.003238,25867874,2.585950,9263907454,358.124037,525.17,22875504384,43558131
11,3,3,routing,full,kfunc,17598,10.003304,26134968,2.612634,8768202337,335.496961,495.40,22267556903,44948774
13,4,1,routing,full,kfunc,17686,10.003352,25985151,2.597644,9263570027,356.494755,522.68,22727972200,43483372
16,4,4,routing,full,kfunc,17818,10.003253,25974494,2.596605,9261349331,356.555524,521.59,23271902069,44617267
18,5,2,routing,full,kfunc,17906,10.003198,27543679,2.753487,9227738014,335.021985,495.49,23068224326,46556499
19,5,3,routing,full,kfunc,17950,10.003202,27523679,2.751487,9231206787,335.391456,496.27,23573344622,47501100
