seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,routing,full,native,17158,10.003137,26713112,2.670474,8654945119,323.996138,12472.57,575419533584,46134803
4,1,4,routing,full,native,17290,10.003359,26057684,2.604893,9182200716,352.379771,535.14,24093712502,45022916
6,2,2,routing,full,native,17378,10.003531,28679594,2.866947,9109962098,317.646132,475.04,23261060793,48966428
7,2,3,routing,full,native,17422,10.003501,28073774,2.806395,9153676421,326.057922,492.38,23690391330,48113593
9,3,1,routing,full,native,17510,10.003289,26770042,2.676124,9135360686,341.253132,513.62,23745831039,46232183
12,3,4,routing,full,native,17642,10.003460,28188784,2.817903,9130802492,323.916154,488.56,23757601911,48628134
14,4,2,routing,full,native,17730,10.003143,25294167,2.528622,8807754820,348.212883,6109.24,266964372998,43698491
15,4,3,routing,full,native,17774,10.003223,25544257,2.553603,8799683862,344.487759,518.43,22884420730,44141912
17,5,1,routing,full,native,17862,10.003277,26828454,2.681966,8664602678,322.963175,8424.55,390556325746,46359333
20,5,4,routing,full,native,17994,10.003318,25444870,2.543643,8801368352,345.899521,523.48,22964671538,43869215
