seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,routing,full,native,17158,10.003137,26713112,2.670474,8654945119,323.996138,12472.57,575419533584,46134803
2,1,2,routing,full,kfunc,17202,10.003191,26076901,2.606858,8770993812,336.351080,496.28,22351727456,45038636
3,1,3,routing,full,kfunc,17246,10.003319,25794002,2.578544,9273591944,359.525131,528.22,22822246862,43205687
4,1,4,routing,full,native,17290,10.003359,26057684,2.604893,9182200716,352.379771,535.14,24093712502,45022916
5,2,1,routing,full,kfunc,17334,10.003022,25971661,2.596381,9261711670,356.608369,522.92,23246773784,44456041
6,2,2,routing,full,native,17378,10.003531,28679594,2.866947,9109962098,317.646132,475.04,23261060793,48966428
7,2,3,routing,full,native,17422,10.003501,28073774,2.806395,9153676421,326.057922,492.38,23690391330,48113593
8,2,4,routing,full,kfunc,17466,10.003025,26010889,2.600302,9266312431,356.247433,523.16,22583745398,43167645
9,3,1,routing,full,native,17510,10.003289,26770042,2.676124,9135360686,341.253132,513.62,23745831039,46232183
10,3,2,routing,full,kfunc,17554,10.003238,25867874,2.585950,9263907454,358.124037,525.17,22875504384,43558131
11,3,3,routing,full,kfunc,17598,10.003304,26134968,2.612634,8768202337,335.496961,495.40,22267556903,44948774
12,3,4,routing,full,native,17642,10.003460,28188784,2.817903,9130802492,323.916154,488.56,23757601911,48628134
13,4,1,routing,full,kfunc,17686,10.003352,25985151,2.597644,9263570027,356.494755,522.68,22727972200,43483372
14,4,2,routing,full,native,17730,10.003143,25294167,2.528622,8807754820,348.212883,6109.24,266964372998,43698491
15,4,3,routing,full,native,17774,10.003223,25544257,2.553603,8799683862,344.487759,518.43,22884420730,44141912
16,4,4,routing,full,kfunc,17818,10.003253,25974494,2.596605,9261349331,356.555524,521.59,23271902069,44617267
17,5,1,routing,full,native,17862,10.003277,26828454,2.681966,8664602678,322.963175,8424.55,390556325746,46359333
18,5,2,routing,full,kfunc,17906,10.003198,27543679,2.753487,9227738014,335.021985,495.49,23068224326,46556499
19,5,3,routing,full,kfunc,17950,10.003202,27523679,2.751487,9231206787,335.391456,496.27,23573344622,47501100
20,5,4,routing,full,native,17994,10.003318,25444870,2.543643,8801368352,345.899521,523.48,22964671538,43869215
