seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
2,1,2,tunnel,full,kfunc,18082,10.003187,23122832,2.311547,6223535396,269.151088,152.32,5999814751,39390362
3,1,3,tunnel,full,kfunc,18126,10.003316,23143984,2.313631,6215992390,268.579186,156.13,6158574175,39444800
5,2,1,tunnel,full,kfunc,18214,10.003271,23220325,2.321273,6211520068,267.503580,153.87,5920201957,38475859
8,2,4,tunnel,full,kfunc,18346,10.003032,24272199,2.426484,5829175949,240.158543,147.99,5958079983,40259403
10,3,2,tunnel,full,kfunc,18434,10.003300,22940460,2.293289,6157604265,268.416774,159.39,6162376923,38662123
11,3,3,tunnel,full,kfunc,18478,10.003319,23143652,2.313597,6117216979,264.315112,157.25,6077802180,38651508
13,4,1,tunnel,full,kfunc,18566,10.003216,22952842,2.294546,6197817627,270.023975,158.35,6193454773,39112569
16,4,4,tunnel,full,kfunc,18698,10.003052,24327534,2.432011,5863887263,241.039115,146.38,6011801531,41069830
18,5,2,tunnel,full,kfunc,18786,10.003283,22890510,2.288300,6216870552,271.591614,160.90,6359945199,39527488
19,5,3,tunnel,full,kfunc,18830,10.003370,24348656,2.434045,5880625559,241.517460,148.43,5709059731,38462786
