seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,tunnel,full,native,18038,10.003095,23383366,2.337613,6093852260,260.606290,200.87,8100922832,40329925
4,1,4,tunnel,full,native,18170,10.003284,23718423,2.371064,6098096106,257.103776,197.38,8086264259,40967110
6,2,2,tunnel,full,native,18258,10.003124,23889688,2.388223,6059546112,253.646934,194.79,7954625118,40836008
7,2,3,tunnel,full,native,18302,10.003544,23458540,2.345023,6132018429,261.398127,197.38,8002054894,40541174
9,3,1,tunnel,full,native,18390,10.003304,23553585,2.354580,6062342380,257.385123,199.27,8103971305,40667881
12,3,4,tunnel,full,native,18522,10.003377,25172371,2.516387,5734816994,227.821884,189.04,7832182823,41431194
14,4,2,tunnel,full,native,18610,10.003268,23499426,2.349175,6088875347,259.107407,202.30,8212044217,40592903
15,4,3,tunnel,full,native,18654,10.003221,23800045,2.379238,6033266348,253.498107,27091.87,1113762816119,41110599
17,5,1,tunnel,full,native,18742,10.003487,22797202,2.278926,6323526328,277.381686,199.51,7856480554,39379850
20,5,4,tunnel,full,native,18874,10.003367,22810517,2.280284,6318437023,276.996660,195.97,7720066654,39394750
