seq,block,position,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt,inxpect_cycles_per_pkt,inxpect_total_cycles,inxpect_run_cnt
1,1,1,tunnel,full,native,18038,10.003095,23383366,2.337613,6093852260,260.606290,200.87,8100922832,40329925
2,1,2,tunnel,full,kfunc,18082,10.003187,23122832,2.311547,6223535396,269.151088,152.32,5999814751,39390362
3,1,3,tunnel,full,kfunc,18126,10.003316,23143984,2.313631,6215992390,268.579186,156.13,6158574175,39444800
4,1,4,tunnel,full,native,18170,10.003284,23718423,2.371064,6098096106,257.103776,197.38,8086264259,40967110
5,2,1,tunnel,full,kfunc,18214,10.003271,23220325,2.321273,6211520068,267.503580,153.87,5920201957,38475859
6,2,2,tunnel,full,native,18258,10.003124,23889688,2.388223,6059546112,253.646934,194.79,7954625118,40836008
7,2,3,tunnel,full,native,18302,10.003544,23458540,2.345023,6132018429,261.398127,197.38,8002054894,40541174
8,2,4,tunnel,full,kfunc,18346,10.003032,24272199,2.426484,5829175949,240.158543,147.99,5958079983,40259403
9,3,1,tunnel,full,native,18390,10.003304,23553585,2.354580,6062342380,257.385123,199.27,8103971305,40667881
10,3,2,tunnel,full,kfunc,18434,10.003300,22940460,2.293289,6157604265,268.416774,159.39,6162376923,38662123
11,3,3,tunnel,full,kfunc,18478,10.003319,23143652,2.313597,6117216979,264.315112,157.25,6077802180,38651508
12,3,4,tunnel,full,native,18522,10.003377,25172371,2.516387,5734816994,227.821884,189.04,7832182823,41431194
13,4,1,tunnel,full,kfunc,18566,10.003216,22952842,2.294546,6197817627,270.023975,158.35,6193454773,39112569
14,4,2,tunnel,full,native,18610,10.003268,23499426,2.349175,6088875347,259.107407,202.30,8212044217,40592903
15,4,3,tunnel,full,native,18654,10.003221,23800045,2.379238,6033266348,253.498107,27091.87,1113762816119,41110599
16,4,4,tunnel,full,kfunc,18698,10.003052,24327534,2.432011,5863887263,241.039115,146.38,6011801531,41069830
17,5,1,tunnel,full,native,18742,10.003487,22797202,2.278926,6323526328,277.381686,199.51,7856480554,39379850
18,5,2,tunnel,full,kfunc,18786,10.003283,22890510,2.288300,6216870552,271.591614,160.90,6359945199,39527488
19,5,3,tunnel,full,kfunc,18830,10.003370,24348656,2.434045,5880625559,241.517460,148.43,5709059731,38462786
20,5,4,tunnel,full,native,18874,10.003367,22810517,2.280284,6318437023,276.996660,195.97,7720066654,39394750
