seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,cms,full,native,26046,20.003064,72839495,3.641417,16085503525,220.834913,41826124,117862231,76036107,10335833240,29142473642,18806640402,247.338286,1.043886,1,6,1,1,247.27
4,1,4,cms,full,native,26178,20.003496,72792750,3.639001,16040045590,220.352241,40881434,116881927,76000493,10175221131,29096783549,18921562418,248.966312,1.044067,1,6,1,1,248.95
6,2,2,cms,full,native,26266,20.003271,73057570,3.652281,16032204993,219.446185,41931165,118194898,76263733,12877064649804,12895607566578,18542916774,243.142003,1.043885,1,6,1,1,108750.59
7,2,3,cms,full,native,26310,20.003369,72092799,3.604033,16135180262,223.811261,41376473,116639017,75262544,10477529073,29540265119,19062736046,253.283174,1.043968,1,6,1,1,253.27
9,3,1,cms,full,native,26398,20.003389,72896522,3.644209,15313785624,210.075669,41873808,117972862,76099054,9851295747,27767894797,17916599050,235.437868,1.043933,1,6,1,1,235.38
12,3,4,cms,full,native,26530,20.003439,72567734,3.627763,16095572493,221.800676,41621994,117392365,75770371,13323473963060,13342268740366,18794777306,248.049166,1.044133,1,6,1,1,113286.28
14,4,2,cms,full,native,26618,20.003483,71955503,3.597149,16119167132,224.015766,41072239,116205793,75133554,10407130332,29427754123,19020623791,253.157515,1.044167,1,6,1,1,253.24
15,4,3,cms,full,native,26662,20.003366,72502010,3.624490,16089853743,221.922865,41616634,117312130,75695496,10590933127,29853219754,19262286627,254.470710,1.044047,1,6,1,1,254.48
17,5,1,cms,full,native,26750,20.003376,72189884,3.608885,16127497697,223.403846,41408503,116778265,75369762,10442438422,29455121858,19012683436,252.258770,1.044049,1,6,1,1,252.24
20,5,4,cms,full,native,26882,20.003322,73353738,3.667078,15340939494,209.136438,42072270,118651913,76579643,13917657922846,13935489990799,17832067953,232.856504,1.043977,1,6,1,1,117066.80
