seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,cms,full,native,26046,20.003064,72839495,3.641417,16085503525,220.834913,41826124,117862231,76036107,10335833240,29142473642,18806640402,247.338286,1.043886,1,6,1,1,247.27
2,1,2,cms,full,kfunc,26090,20.003255,70570001,3.527926,16410070550,232.536068,37821918,111496462,73674544,9523146124,28079086640,18555940516,251.863663,1.043992,1,6,1,1,251.85
3,1,3,cms,full,kfunc,26134,20.003326,69883451,3.493592,16480389879,235.826789,37102615,110067500,72964885,9626483610,28551093262,18924609652,259.365990,1.044094,1,6,1,1,259.41
4,1,4,cms,full,native,26178,20.003496,72792750,3.639001,16040045590,220.352241,40881434,116881927,76000493,10175221131,29096783549,18921562418,248.966312,1.044067,1,6,1,1,248.95
5,2,1,cms,full,kfunc,26222,20.003415,70667024,3.532748,16435195086,232.572339,40254560,114050698,73796138,10170024622,28821525957,18651501335,252.743597,1.044280,1,6,1,1,252.72
6,2,2,cms,full,native,26266,20.003271,73057570,3.652281,16032204993,219.446185,41931165,118194898,76263733,12877064649804,12895607566578,18542916774,243.142003,1.043885,1,6,1,1,108750.59
7,2,3,cms,full,native,26310,20.003369,72092799,3.604033,16135180262,223.811261,41376473,116639017,75262544,10477529073,29540265119,19062736046,253.283174,1.043968,1,6,1,1,253.27
8,2,4,cms,full,kfunc,26354,20.003310,69646708,3.481759,16487739116,236.733933,39958838,112669535,72710697,10413023758,29365639615,18952615857,260.657876,1.043993,1,6,1,1,260.65
9,3,1,cms,full,native,26398,20.003389,72896522,3.644209,15313785624,210.075669,41873808,117972862,76099054,9851295747,27767894797,17916599050,235.437868,1.043933,1,6,1,1,235.38
10,3,2,cms,full,kfunc,26442,20.003293,71547412,3.576782,15545127723,217.270301,39675981,114373230,74697249,9394169483,27079659155,17685489672,236.762262,1.044024,1,6,1,1,236.78
11,3,3,cms,full,kfunc,26486,20.003401,70822924,3.540544,15616852801,220.505620,39112704,113050900,73938196,9511803504,27503841959,17992038455,243.338889,1.043987,1,6,1,1,243.30
12,3,4,cms,full,native,26530,20.003439,72567734,3.627763,16095572493,221.800676,41621994,117392365,75770371,13323473963060,13342268740366,18794777306,248.049166,1.044133,1,6,1,1,113286.28
13,4,1,cms,full,kfunc,26574,20.003502,74522813,3.725488,16352660884,219.431611,40065174,117888124,77822950,9665976249,28447312989,18781336740,241.334166,1.044284,1,6,1,1,241.31
14,4,2,cms,full,native,26618,20.003483,71955503,3.597149,16119167132,224.015766,41072239,116205793,75133554,10407130332,29427754123,19020623791,253.157515,1.044167,1,6,1,1,253.24
15,4,3,cms,full,native,26662,20.003366,72502010,3.624490,16089853743,221.922865,41616634,117312130,75695496,10590933127,29853219754,19262286627,254.470710,1.044047,1,6,1,1,254.48
16,4,4,cms,full,kfunc,26706,20.003331,69766309,3.487735,16474708783,236.141327,38415510,111261578,72846068,10050531625,29100633589,19050101964,261.511740,1.044144,1,6,1,1,261.56
17,5,1,cms,full,native,26750,20.003376,72189884,3.608885,16127497697,223.403846,41408503,116778265,75369762,10442438422,29455121858,19012683436,252.258770,1.044049,1,6,1,1,252.24
18,5,2,cms,full,kfunc,26794,20.003340,69936578,3.496245,16471852622,235.525573,40144741,113164637,73019896,10347763443,29179558935,18831795492,257.899511,1.044087,1,6,1,1,257.86
19,5,3,cms,full,kfunc,26838,20.003380,70141797,3.506497,16449462319,234.517264,40231177,113461426,73230249,13843471181878,13862253792712,18782610834,256.487054,1.044032,1,6,1,1,121778.86
20,5,4,cms,full,native,26882,20.003322,73353738,3.667078,15340939494,209.136438,42072270,118651913,76579643,13917657922846,13935489990799,17832067953,232.856504,1.043977,1,6,1,1,117066.80
