seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
2,1,2,drop,full,kfunc,20018,20.003349,98439123,4.921132,14781953269,150.163399,52347436,155105155,102757719,3746186842,10958334846,7212148004,70.185949,1.043871,1,6,1,1,70.65
3,1,3,drop,full,kfunc,20062,20.003625,103197228,5.158926,14573776018,141.222553,51252756,159014658,107761902,3334210845,10344598277,7010387432,65.054414,1.044233,1,6,1,1,65.05
5,2,1,drop,full,kfunc,20150,20.003577,97477279,4.872992,14771217360,151.534978,54893317,156661410,101768093,4190472890,12013694545,7823221655,76.873030,1.044019,1,6,1,1,76.68
8,2,4,drop,full,kfunc,20282,20.003506,97861221,4.892203,14821137283,151.450566,54484798,156653312,102168514,3938734081,11318358729,7379624648,72.229930,1.044014,1,6,1,1,72.24
10,3,2,drop,full,kfunc,20370,20.003390,98010314,4.899685,14800166287,151.006212,56273652,158603609,102329957,4296381647,12147276366,7850894719,76.721372,1.044073,1,6,1,1,76.58
11,3,3,drop,full,kfunc,20414,20.003417,97635832,4.880958,14805626864,151.641324,56065601,158022232,101956631,4265633624,11773956855,7508323231,73.642324,1.044254,1,6,1,1,74.49
13,4,1,drop,full,kfunc,20502,20.003413,97955095,4.896919,14788207633,150.969254,53823814,156095468,102271654,3888658443,10984591570,7095933127,69.383185,1.044067,1,6,1,1,70.37
16,4,4,drop,full,kfunc,20634,20.003414,98178693,4.908097,14777373240,150.515074,54889532,157404975,102515443,4211923146,12004781107,7792857961,76.016430,1.044172,1,6,1,1,76.25
18,5,2,drop,full,kfunc,20722,20.003513,103268861,5.162536,14584282794,141.226335,55532741,163346447,107813706,3612698312,10625683286,7012984974,65.047249,1.044010,1,6,1,1,65.05
19,5,3,drop,full,kfunc,20766,20.003358,99002982,4.949318,13930500436,140.707887,52870032,156247428,103377396,3438990295,10164700113,6725709818,65.059772,1.044185,1,6,1,1,65.06
