seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
2,1,2,nat,full,kfunc,24858,20.003308,38667007,1.933031,14131482295,365.466153,21555622,61904890,40349268,11450033775,32819993555,21369959780,529.624472,1.043506,1,6,1,1,530.41
3,1,3,nat,full,kfunc,24902,20.003010,40346255,2.017009,13922576714,345.077299,22395500,64522322,42126822,11645065491,33394149920,21749084429,516.276410,1.044132,1,6,1,1,517.55
5,2,1,nat,full,kfunc,24990,20.003362,38718159,1.935583,14125483864,364.828397,20735278,61141706,40406428,11054494982,32527327330,21472832348,531.421197,1.043604,1,6,1,1,532.17
8,2,4,nat,full,kfunc,25122,20.003332,38049239,1.902145,14246752451,374.429366,20931827,60630320,39698493,11510968020,33303728686,21792760666,548.956875,1.043345,1,6,1,1,549.65
10,3,2,nat,full,kfunc,25210,20.003346,38427184,1.921038,14201911453,369.579812,20606848,60705361,40098513,11164000467,32819411731,21655411264,540.055220,1.043493,1,6,1,1,540.88
11,3,3,nat,full,kfunc,25254,20.003438,37822094,1.890780,14281711747,377.602355,20296847,59759338,39462491,11347302932,33329126667,21981823735,557.030820,1.043371,1,6,1,1,558.03
13,4,1,nat,full,kfunc,25342,20.003386,37961215,1.897739,14234575668,374.976820,21585588,61187515,39601927,11917819814,33737569808,21819749994,550.976976,1.043221,1,6,1,1,551.73
16,4,4,nat,full,kfunc,25474,20.003153,40809501,2.040153,13867931297,339.821144,21498238,64108974,42610736,10923033976,32429408147,21506374171,504.717266,1.044138,1,6,1,1,505.84
18,5,2,nat,full,kfunc,25562,20.003436,38605178,1.929927,14197746914,367.767943,21659508,61948385,40288877,11656202137,33244234121,21588031984,535.831068,1.043613,1,6,1,1,536.78
19,5,3,nat,full,kfunc,25606,20.003391,38126930,1.906023,14244331141,373.602888,21443203,61221071,39777868,11840182544,33743950757,21903768213,550.652142,1.043301,1,6,1,1,551.42
