seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,nat,full,native,24814,20.003233,39748674,1.987112,13844341788,348.296947,22845606,64312343,41466737,10491430670802,10512680687665,21250016863,512.459345,1.043223,1,6,1,1,162964.80
4,1,4,nat,full,native,24946,20.003404,39799298,1.989626,13837065349,347.671091,22848067,64387228,41539161,11757805119,33188591467,21430786348,515.917651,1.043716,1,6,1,1,515.67
6,2,2,nat,full,native,25034,20.003493,39111826,1.955250,13944268007,356.523063,22022464,62847936,40825472,11880159034,33803486850,21923327816,537.001209,1.043814,1,6,1,1,538.06
7,2,3,nat,full,native,25078,20.003403,38941088,1.946723,14013066577,359.852980,22366235,63003430,40637195,11865040447,33500505498,21635465051,532.405474,1.043556,1,6,1,1,531.93
9,3,1,nat,full,native,25166,20.003391,39861956,1.992760,13844340135,347.307095,22891548,64488623,41597075,11792952215,33293605017,21500652802,516.878958,1.043528,1,6,1,1,516.47
12,3,4,nat,full,native,25298,20.003569,39788485,1.989069,13832736886,347.656788,22427861,63947155,41519294,11601107734,33034505085,21433397351,516.227404,1.043500,1,6,1,1,516.82
14,4,2,nat,full,native,25386,20.003555,39830748,1.991183,13848602582,347.686229,22859073,64446586,41587513,11454154924904,11475642174670,21487249766,516.675517,1.044106,1,6,1,1,177510.03
15,4,3,nat,full,native,25430,20.003378,39536001,1.976466,13891232854,351.356549,22724723,63968050,41243327,11528863174183,11550411652577,21548478394,522.471875,1.043184,1,6,1,1,180010.09
17,5,1,nat,full,native,25518,20.003628,41832743,2.091258,13657684670,326.483125,23295073,66968813,43673740,11513673321,32988214920,21474541599,491.703747,1.044009,1,6,1,1,492.59
20,5,4,nat,full,native,25650,20.003467,38808598,1.940094,13995315244,360.624088,22324609,62811797,40487188,11898891276557,11920990709962,22099433405,545.837696,1.043253,1,6,1,1,189210.92
