seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,nat,full,native,24814,20.003233,39748674,1.987112,13844341788,348.296947,22845606,64312343,41466737,10491430670802,10512680687665,21250016863,512.459345,1.043223,1,6,1,1,162964.80
2,1,2,nat,full,kfunc,24858,20.003308,38667007,1.933031,14131482295,365.466153,21555622,61904890,40349268,11450033775,32819993555,21369959780,529.624472,1.043506,1,6,1,1,530.41
3,1,3,nat,full,kfunc,24902,20.003010,40346255,2.017009,13922576714,345.077299,22395500,64522322,42126822,11645065491,33394149920,21749084429,516.276410,1.044132,1,6,1,1,517.55
4,1,4,nat,full,native,24946,20.003404,39799298,1.989626,13837065349,347.671091,22848067,64387228,41539161,11757805119,33188591467,21430786348,515.917651,1.043716,1,6,1,1,515.67
5,2,1,nat,full,kfunc,24990,20.003362,38718159,1.935583,14125483864,364.828397,20735278,61141706,40406428,11054494982,32527327330,21472832348,531.421197,1.043604,1,6,1,1,532.17
6,2,2,nat,full,native,25034,20.003493,39111826,1.955250,13944268007,356.523063,22022464,62847936,40825472,11880159034,33803486850,21923327816,537.001209,1.043814,1,6,1,1,538.06
7,2,3,nat,full,native,25078,20.003403,38941088,1.946723,14013066577,359.852980,22366235,63003430,40637195,11865040447,33500505498,21635465051,532.405474,1.043556,1,6,1,1,531.93
8,2,4,nat,full,kfunc,25122,20.003332,38049239,1.902145,14246752451,374.429366,20931827,60630320,39698493,11510968020,33303728686,21792760666,548.956875,1.043345,1,6,1,1,549.65
9,3,1,nat,full,native,25166,20.003391,39861956,1.992760,13844340135,347.307095,22891548,64488623,41597075,11792952215,33293605017,21500652802,516.878958,1.043528,1,6,1,1,516.47
10,3,2,nat,full,kfunc,25210,20.003346,38427184,1.921038,14201911453,369.579812,20606848,60705361,40098513,11164000467,32819411731,21655411264,540.055220,1.043493,1,6,1,1,540.88
11,3,3,nat,full,kfunc,25254,20.003438,37822094,1.890780,14281711747,377.602355,20296847,59759338,39462491,11347302932,33329126667,21981823735,557.030820,1.043371,1,6,1,1,558.03
12,3,4,nat,full,native,25298,20.003569,39788485,1.989069,13832736886,347.656788,22427861,63947155,41519294,11601107734,33034505085,21433397351,516.227404,1.043500,1,6,1,1,516.82
13,4,1,nat,full,kfunc,25342,20.003386,37961215,1.897739,14234575668,374.976820,21585588,61187515,39601927,11917819814,33737569808,21819749994,550.976976,1.043221,1,6,1,1,551.73
14,4,2,nat,full,native,25386,20.003555,39830748,1.991183,13848602582,347.686229,22859073,64446586,41587513,11454154924904,11475642174670,21487249766,516.675517,1.044106,1,6,1,1,177510.03
15,4,3,nat,full,native,25430,20.003378,39536001,1.976466,13891232854,351.356549,22724723,63968050,41243327,11528863174183,11550411652577,21548478394,522.471875,1.043184,1,6,1,1,180010.09
16,4,4,nat,full,kfunc,25474,20.003153,40809501,2.040153,13867931297,339.821144,21498238,64108974,42610736,10923033976,32429408147,21506374171,504.717266,1.044138,1,6,1,1,505.84
17,5,1,nat,full,native,25518,20.003628,41832743,2.091258,13657684670,326.483125,23295073,66968813,43673740,11513673321,32988214920,21474541599,491.703747,1.044009,1,6,1,1,492.59
18,5,2,nat,full,kfunc,25562,20.003436,38605178,1.929927,14197746914,367.767943,21659508,61948385,40288877,11656202137,33244234121,21588031984,535.831068,1.043613,1,6,1,1,536.78
19,5,3,nat,full,kfunc,25606,20.003391,38126930,1.906023,14244331141,373.602888,21443203,61221071,39777868,11840182544,33743950757,21903768213,550.652142,1.043301,1,6,1,1,551.42
20,5,4,nat,full,native,25650,20.003467,38808598,1.940094,13995315244,360.624088,22324609,62811797,40487188,11898891276557,11920990709962,22099433405,545.837696,1.043253,1,6,1,1,189210.92
