seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
2,1,2,routing,full,kfunc,22218,20.003315,49375017,2.468342,17774829022,359.996413,28094112,79638443,51544331,14995979357,42495187819,27499208462,533.505973,1.043935,1,6,1,1,533.61
3,1,3,routing,full,kfunc,22262,20.003346,49277895,2.463483,17778070012,360.771701,26463838,77917305,51453467,14111720073,41593770704,27482050631,534.114652,1.044149,1,6,1,1,533.84
5,2,1,routing,full,kfunc,22350,20.003098,52224484,2.610820,17695442351,338.834221,29220911,83749225,54528314,14756037313,42306990374,27550953061,505.259581,1.044114,1,6,1,1,505.17
8,2,4,routing,full,kfunc,22482,20.003403,49520143,2.475586,17788576233,359.219000,26565978,78275730,51709752,14141030948,41650517976,27509487028,531.998046,1.044217,1,6,1,1,532.11
10,3,2,routing,full,kfunc,22570,20.003392,52911133,2.645108,17667725207,333.913190,30106625,85341581,55234956,14901662138,42226321942,27324659804,494.698680,1.043919,1,6,1,1,494.79
11,3,3,routing,full,kfunc,22614,20.003356,49564469,2.477808,17781966930,358.764399,27013464,78759601,51746137,14326193661,41792679929,27466486268,530.792980,1.044017,1,6,1,1,530.64
13,4,1,routing,full,kfunc,22702,20.003688,52444043,2.621719,17694304403,337.393980,29913024,84673736,54760712,14974934648,42420375984,27445441336,501.188541,1.044174,1,6,1,1,500.98
16,4,4,routing,full,kfunc,22834,20.003478,52594185,2.629252,17688595410,336.322265,28822819,83737652,54914833,14424288846,41815380365,27391091519,498.792221,1.044124,1,6,1,1,499.37
18,5,2,routing,full,kfunc,22922,20.003461,50296463,2.514388,16867690548,335.365343,28896547,81415305,52518758,14312999620,40380816994,26067817374,496.352510,1.044184,1,6,1,1,496.00
19,5,3,routing,full,kfunc,22966,20.003412,50347358,2.516939,16885008530,335.370299,28035983,80602189,52566206,13931934362,40082915171,26150980809,497.486556,1.044071,1,6,1,1,497.29
