seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,routing,full,native,22174,20.003222,50942540,2.546717,17555466148,344.613091,29246741,82430131,53183390,15222380583,42913037322,27690656739,520.663627,1.043988,1,6,1,1,520.61
2,1,2,routing,full,kfunc,22218,20.003315,49375017,2.468342,17774829022,359.996413,28094112,79638443,51544331,14995979357,42495187819,27499208462,533.505973,1.043935,1,6,1,1,533.61
3,1,3,routing,full,kfunc,22262,20.003346,49277895,2.463483,17778070012,360.771701,26463838,77917305,51453467,14111720073,41593770704,27482050631,534.114652,1.044149,1,6,1,1,533.84
4,1,4,routing,full,native,22306,20.003173,50937786,2.546485,17531622921,344.177168,29268004,82455267,53187263,6268319024273,6295837290100,27518265827,517.384507,1.044161,1,6,1,1,76108.44
5,2,1,routing,full,kfunc,22350,20.003098,52224484,2.610820,17695442351,338.834221,29220911,83749225,54528314,14756037313,42306990374,27550953061,505.259581,1.044114,1,6,1,1,505.17
6,2,2,routing,full,native,22394,20.003092,53889859,2.694076,17547957990,325.626348,30094128,86364395,56270267,14834539446,42500577364,27666037918,491.663527,1.044172,1,6,1,1,492.11
7,2,3,routing,full,native,22438,20.003454,50811860,2.540154,17569472715,345.775036,28536312,81584024,53047712,14974061197,42819760014,27845698817,524.917999,1.044003,1,6,1,1,524.86
8,2,4,routing,full,kfunc,22482,20.003403,49520143,2.475586,17788576233,359.219000,26565978,78275730,51709752,14141030948,41650517976,27509487028,531.998046,1.044217,1,6,1,1,532.11
9,3,1,routing,full,native,22526,20.003511,50686316,2.533871,17550982501,346.266683,29098738,82022658,52923920,15206516666,42872949074,27666432408,522.758564,1.044146,1,6,1,1,522.71
10,3,2,routing,full,kfunc,22570,20.003392,52911133,2.645108,17667725207,333.913190,30106625,85341581,55234956,14901662138,42226321942,27324659804,494.698680,1.043919,1,6,1,1,494.79
11,3,3,routing,full,kfunc,22614,20.003356,49564469,2.477808,17781966930,358.764399,27013464,78759601,51746137,14326193661,41792679929,27466486268,530.792980,1.044017,1,6,1,1,530.64
12,3,4,routing,full,native,22658,20.003381,50632805,2.531212,17549738156,346.608057,29068622,81953666,52885044,15198236134,42857792902,27659556768,523.012835,1.044482,1,6,1,1,522.96
13,4,1,routing,full,kfunc,22702,20.003688,52444043,2.621719,17694304403,337.393980,29913024,84673736,54760712,14974934648,42420375984,27445441336,501.188541,1.044174,1,6,1,1,500.98
14,4,2,routing,full,native,22746,20.003247,50323690,2.515776,17556933474,348.880090,28730968,81265876,52534908,15099270052,42717701299,27618431247,525.715801,1.043940,1,6,1,1,525.67
15,4,3,routing,full,native,22790,20.003796,54064398,2.702707,17534736218,324.330555,30947884,87402202,56454318,15189835760,42880935163,27691099403,490.504542,1.044205,1,6,1,1,490.61
16,4,4,routing,full,kfunc,22834,20.003478,52594185,2.629252,17688595410,336.322265,28822819,83737652,54914833,14424288846,41815380365,27391091519,498.792221,1.044124,1,6,1,1,499.37
17,5,1,routing,full,native,22878,20.003437,51536190,2.576367,16724321389,324.516061,29640021,83448011,53807990,7232138242156,7258465863285,26327621129,489.288322,1.044082,1,6,1,1,86701.38
18,5,2,routing,full,kfunc,22922,20.003461,50296463,2.514388,16867690548,335.365343,28896547,81415305,52518758,14312999620,40380816994,26067817374,496.352510,1.044184,1,6,1,1,496.00
19,5,3,routing,full,kfunc,22966,20.003412,50347358,2.516939,16885008530,335.370299,28035983,80602189,52566206,13931934362,40082915171,26150980809,497.486556,1.044071,1,6,1,1,497.29
20,5,4,routing,full,native,23010,20.003407,53983971,2.698739,17534865541,324.816149,28680063,85038305,56358242,14013014161,41550219120,27537204959,488.610077,1.043981,1,6,1,1,488.60
