seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
2,1,2,tunnel,full,kfunc,23978,20.003075,43992533,2.199288,11853169636,269.435944,23280463,69205819,45925356,3654783794,10870383930,7215600136,157.115824,1.043935,1,6,1,1,157.09
3,1,3,tunnel,full,kfunc,24022,20.003271,44846431,2.241955,11939328064,266.226939,25753415,72575363,46821948,3930461178,11079802404,7149341226,152.692093,1.044051,1,6,1,1,152.68
5,2,1,tunnel,full,kfunc,24110,20.003123,44830002,2.241150,11912311283,265.721855,24801368,71611849,46810481,3775045807,10903021576,7127975769,152.273073,1.044178,1,6,1,1,152.26
8,2,4,tunnel,full,kfunc,24242,20.003314,44785965,2.238927,11837262446,264.307411,25111424,71869760,46758336,3836692950,10980011547,7143318597,152.771018,1.044040,1,6,1,1,152.79
10,3,2,tunnel,full,kfunc,24330,20.003316,44065024,2.202886,11767088477,267.039194,23435017,69443065,46008048,3653408214,10833150059,7179741845,156.054042,1.044094,1,6,1,1,156.01
11,3,3,tunnel,full,kfunc,24374,20.003428,44052858,2.202265,11744238097,266.594238,22051245,68049886,45998641,3511423562,10840850066,7329426504,159.340066,1.044169,1,6,1,1,159.32
13,4,1,tunnel,full,kfunc,24462,20.003173,43587717,2.179040,11783371401,270.336971,24422930,69937088,45514158,3904453660,11183503700,7279050040,159.929357,1.044197,1,6,1,1,159.92
16,4,4,tunnel,full,kfunc,24594,20.003347,44527926,2.226024,11821124500,265.476647,25571303,72064034,46492731,3932731456,11082760489,7150029033,153.788106,1.044125,1,6,1,1,153.79
18,5,2,tunnel,full,kfunc,24682,20.003477,44304128,2.214821,11811075913,266.590867,24409408,70669892,46260484,3781431218,10951065024,7169633806,154.983977,1.044157,1,6,1,1,154.97
19,5,3,tunnel,full,kfunc,24726,20.003412,45276324,2.263430,11782889341,260.243949,24957184,72228370,47271186,3666921450,10613597319,6946675869,146.953704,1.044060,1,6,1,1,146.95
