seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,tunnel,full,native,23934,20.002982,45176730,2.258500,11552150994,255.710207,25924460,73088238,47163778,5115646346,14424517067,9308870721,197.373305,1.043984,1,6,1,1,197.37
4,1,4,tunnel,full,native,24066,20.003449,45314850,2.265352,11557027219,255.038408,25976963,73281516,47304553,5169206797,14569273288,9400066491,198.713779,1.043908,1,6,1,1,198.82
6,2,2,tunnel,full,native,24154,20.003467,45536120,2.276411,11534009179,253.293631,26144630,73686617,47541987,5086453040,14336763903,9250310863,194.571398,1.044050,1,6,1,1,194.58
7,2,3,tunnel,full,native,24198,20.003292,46230135,2.311126,11649274856,251.984444,26529035,74806250,48277215,5103123041,14391413501,9288290460,192.394911,1.044280,1,6,1,1,192.39
9,3,1,tunnel,full,native,24286,20.003411,45435783,2.271402,11582213813,254.913926,26082537,73519856,47437319,5092863281,14357266913,9264403632,195.297791,1.044052,1,6,1,1,195.29
12,3,4,tunnel,full,native,24418,20.003342,45533650,2.276302,11564167831,253.969709,25358162,72895426,47537264,5074502990,14598110866,9523607876,200.339840,1.044003,1,6,1,1,200.27
14,4,2,tunnel,full,native,24506,20.003428,45133218,2.256274,11584739965,256.678794,25895915,73023596,47127681,5139947245,14495861724,9355914479,198.522700,1.044191,1,6,1,1,198.52
15,4,3,tunnel,full,native,24550,20.003257,45026194,2.250943,11631974510,258.337947,25854179,72863594,47009415,5184318785,14618243056,9433924271,200.681593,1.044046,1,6,1,1,200.64
17,5,1,tunnel,full,native,24638,20.003429,45993928,2.299302,11581099303,251.796265,26397973,74414652,48016679,5078248340,14316409652,9238161312,192.394841,1.043979,1,6,1,1,192.40
20,5,4,tunnel,full,native,24770,20.003514,45010280,2.250119,11622132014,258.210614,25825069,72827169,47002100,5175729394,14596687552,9420958158,200.436963,1.044253,1,6,1,1,200.43
