run,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,drop,full,kfunc,15030,10.003395,54248390,5.422998,7586394806,139.845529
2,drop,full,kfunc,15030,10.003082,54222618,5.420591,7586489664,139.913747
3,drop,full,kfunc,15030,10.003459,54225440,5.420669,7584235426,139.864894
4,drop,full,kfunc,15030,10.003412,54225449,5.420695,7586602584,139.908525
5,drop,full,kfunc,15030,10.003236,54238118,5.422057,7582673143,139.803397
6,drop,full,kfunc,15030,10.003470,54288901,5.427007,7586976241,139.751885
7,drop,full,kfunc,15030,10.003167,54220641,5.420348,7585710891,139.904486
8,drop,full,kfunc,15030,10.003579,54235576,5.421617,7584893552,139.850890
9,drop,full,kfunc,15030,10.003546,54270145,5.425091,7584678112,139.757838
10,drop,full,kfunc,15030,10.003511,54212828,5.419380,7575997609,139.745479
