run,workload,mode,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,drop,full,native,14662,10.003234,53412595,5.339533,7404522264,138.628768
2,drop,full,native,14662,10.003149,53407626,5.339082,7401554854,138.586105
3,drop,full,native,14662,10.003115,53421493,5.340486,7389632717,138.326960
4,drop,full,native,14662,10.002993,53445937,5.342994,7415035750,138.738998
5,drop,full,native,14662,10.003029,53457672,5.344149,7405530819,138.530739
6,drop,full,native,14662,10.003025,53442193,5.342603,7386487245,138.214524
7,drop,full,native,14662,10.003078,53399976,5.338355,7385915366,138.313084
8,drop,full,native,14662,10.003033,53447249,5.343104,7399242835,138.440106
9,drop,full,native,14662,10.003051,53455494,5.343919,7401499879,138.460976
10,drop,full,native,14662,10.002986,53396969,5.338103,7397910480,138.545513
