run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,drop,baseline,6647,10.002976,109348934,10.931640,3974585453,36.347729
2,drop,baseline,6647,10.003050,109278653,10.924533,3972916765,36.355836
3,drop,baseline,6647,10.003025,109395253,10.936217,3977791221,36.361644
4,drop,baseline,6647,10.003282,109497010,10.946109,3980355314,36.351269
5,drop,baseline,6647,10.002969,109298374,10.926593,3973248593,36.352312
6,drop,baseline,6647,10.003462,109401906,10.936405,3976129909,36.344247
7,drop,baseline,6647,10.002902,109416099,10.938436,3977961869,36.356276
8,drop,baseline,6647,10.002991,109400571,10.936786,3977441136,36.356676
9,drop,baseline,6647,10.003356,109580253,10.954349,3983800071,36.355091
10,drop,baseline,6647,10.003222,109447923,10.941267,3978227851,36.348135
