run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,drop,kfunc_rdpmc,7379,10.003214,71592872,7.156987,6532126912,91.239906
2,drop,kfunc_rdpmc,7379,10.003018,71643717,7.162210,6537098081,91.244541
3,drop,kfunc_rdpmc,7379,10.003113,71599066,7.157678,6529916272,91.201138
4,drop,kfunc_rdpmc,7379,10.003372,71596526,7.157239,6534404024,91.267054
5,drop,kfunc_rdpmc,7379,10.003442,71585748,7.156112,6533294681,91.265299
6,drop,kfunc_rdpmc,7379,10.003066,71582416,7.156047,6531996552,91.251412
7,drop,kfunc_rdpmc,7379,10.003733,71549669,7.152297,6530563036,91.273141
8,drop,kfunc_rdpmc,7379,10.003457,71595794,7.157106,6534261691,91.265999
9,drop,kfunc_rdpmc,7379,10.003586,71585049,7.155939,6528850125,91.204102
10,drop,kfunc_rdpmc,7379,10.003600,71546080,7.152033,6530024012,91.270186
