run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,drop,native_rdpmc,7013,10.003254,74426023,7.440181,6389657665,85.852467
2,drop,native_rdpmc,7013,10.003530,74391183,7.436493,6389372183,85.888837
3,drop,native_rdpmc,7013,10.003234,74405498,7.438144,6391297917,85.898194
4,drop,native_rdpmc,7013,10.003758,74415802,7.438785,6393871113,85.920879
5,drop,native_rdpmc,7013,10.003794,74380687,7.435248,6389388029,85.901170
6,drop,native_rdpmc,7013,10.003241,74464828,7.444070,6393783631,85.863136
7,drop,native_rdpmc,7013,10.002935,74420872,7.439904,6395050739,85.930876
8,drop,native_rdpmc,7013,10.003201,74385585,7.436179,6393216361,85.946980
9,drop,native_rdpmc,7013,10.003187,74386552,7.436286,6390181899,85.905069
10,drop,native_rdpmc,7013,10.003184,74324139,7.430048,6383282694,85.884381
