run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,nat,baseline,11989,10.002919,26570833,2.656308,6303494911,237.233620
2,nat,baseline,11989,10.003153,26574582,2.656620,6303227242,237.190080
3,nat,baseline,11989,10.002739,26560401,2.655313,6307676946,237.484251
4,nat,baseline,11989,10.003517,26580545,2.657120,6299754834,237.006233
5,nat,baseline,11989,10.003380,26572800,2.656382,6299430257,237.063097
6,nat,baseline,11989,10.002989,26547278,2.653934,6298900900,237.271064
7,nat,baseline,11989,10.002723,26549953,2.654273,6298781028,237.242643
8,nat,baseline,11989,10.003098,26550026,2.654180,6304315163,237.450433
9,nat,baseline,11989,10.002913,26533887,2.652616,6300838191,237.463821
10,nat,baseline,11989,10.003453,26556405,2.654724,6299838097,237.224809
