run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,nat,kfunc_rdpmc,12725,10.003030,30154781,3.014565,9025803647,299.315841
2,nat,kfunc_rdpmc,12725,10.003189,30160560,3.015094,9029067542,299.366707
3,nat,kfunc_rdpmc,12725,10.003039,30156827,3.014766,9025791394,299.295128
4,nat,kfunc_rdpmc,12725,10.003646,30167421,3.015642,9022517785,299.081509
5,nat,kfunc_rdpmc,12725,10.003110,30210200,3.020081,9016442462,298.456894
6,nat,kfunc_rdpmc,12725,10.003025,30224705,3.021557,9017966650,298.364092
7,nat,kfunc_rdpmc,12725,10.003014,30245732,3.023662,9017585620,298.144069
8,nat,kfunc_rdpmc,12725,10.003771,30246756,3.023535,9022155481,298.285062
9,nat,kfunc_rdpmc,12725,10.003517,30221623,3.021100,9022472116,298.543600
10,nat,kfunc_rdpmc,12725,10.003675,30244533,3.023342,9027683496,298.489763
