run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,nat,native_rdpmc,12357,10.003522,30811423,3.080058,8984470279,291.595435
2,nat,native_rdpmc,12357,10.003315,30835893,3.082567,8983184362,291.322335
3,nat,native_rdpmc,12357,10.002805,30755099,3.074648,8989266078,292.285389
4,nat,native_rdpmc,12357,10.003219,30804773,3.079486,8985562729,291.693847
5,nat,native_rdpmc,12357,10.003414,30767089,3.075659,8985745162,292.057047
6,nat,native_rdpmc,12357,10.003194,30778822,3.076900,8989544182,292.069144
7,nat,native_rdpmc,12357,10.003507,30730912,3.072014,8993517928,292.653792
8,nat,native_rdpmc,12357,10.003519,30747224,3.073641,8989295836,292.361217
9,nat,native_rdpmc,12357,10.002934,30751138,3.074212,8987363332,292.261162
10,nat,native_rdpmc,12357,10.003227,30724990,3.071508,8989136345,292.567592
