run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,routing,baseline,8033,10.003281,39878806,3.986572,8526597968,213.812770
2,routing,baseline,8033,10.003172,39992426,3.997974,8523687115,213.132535
3,routing,baseline,8033,10.002931,39950444,3.993874,8525985624,213.414039
4,routing,baseline,8033,10.003085,39834144,3.982186,8526459159,214.049012
5,routing,baseline,8033,10.002958,39888295,3.987650,8520112740,213.599321
6,routing,baseline,8033,10.002817,39761678,3.975048,8539326539,214.762731
7,routing,baseline,8033,10.003215,39995528,3.998267,8530303756,213.281439
8,routing,baseline,8033,10.003219,39742107,3.972932,8526290020,214.540463
9,routing,baseline,8033,10.002927,39793785,3.978214,8543272181,214.688605
10,routing,baseline,8033,10.003153,39809596,3.979705,8532055680,214.321584
