run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,routing,kfunc_rdpmc,8765,10.003589,31384619,3.137336,8997534086,286.686102
2,routing,kfunc_rdpmc,8765,10.003341,31359452,3.134898,8998552273,286.948645
3,routing,kfunc_rdpmc,8765,10.003595,31374069,3.136279,9000065234,286.863181
4,routing,kfunc_rdpmc,8765,10.003135,31386274,3.137644,9000098492,286.752690
5,routing,kfunc_rdpmc,8765,10.003606,31344632,3.133333,8998175440,287.072295
6,routing,kfunc_rdpmc,8765,10.003142,31380632,3.137077,8995240707,286.649444
7,routing,kfunc_rdpmc,8765,10.003725,31381922,3.137024,8998315683,286.735646
8,routing,kfunc_rdpmc,8765,10.003334,31379859,3.136940,9000689568,286.830147
9,routing,kfunc_rdpmc,8765,10.003788,31371692,3.135981,8994493493,286.707312
10,routing,kfunc_rdpmc,8765,10.003598,31384016,3.137273,8995834269,286.637448
