run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,routing,native_rdpmc,8399,10.003020,31812280,3.180268,8994037202,282.722182
2,routing,native_rdpmc,8399,10.003544,31798456,3.178719,8983303761,282.507546
3,routing,native_rdpmc,8399,10.003569,31923869,3.191248,8973609137,281.094035
4,routing,native_rdpmc,8399,10.003506,31878672,3.186750,8968551489,281.333912
5,routing,native_rdpmc,8399,10.003334,31736815,3.172624,8981207326,282.990191
6,routing,native_rdpmc,8399,10.003294,31695547,3.168511,8983563942,283.432999
7,routing,native_rdpmc,8399,10.003021,31691041,3.168147,8983912059,283.484284
8,routing,native_rdpmc,8399,10.003595,31983638,3.197215,8965592419,280.318093
9,routing,native_rdpmc,8399,10.003711,31801317,3.178952,8978226886,282.322486
10,routing,native_rdpmc,8399,10.003609,31917070,3.190556,8963849277,280.848125
