run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,tunnel,baseline,9179,10.003024,35829599,3.581877,3807547309,106.268209
2,tunnel,baseline,9179,10.003512,35815822,3.580325,3805057737,106.239576
3,tunnel,baseline,9179,10.003509,35808554,3.579599,3804902320,106.256799
4,tunnel,baseline,9179,10.003341,35829710,3.581774,3807826085,106.275660
5,tunnel,baseline,9179,10.002883,35808167,3.579785,3804658616,106.251141
6,tunnel,baseline,9179,10.003171,35830729,3.581937,3806605376,106.238569
7,tunnel,baseline,9179,10.002974,35814460,3.580381,3803651169,106.204342
8,tunnel,baseline,9179,10.003537,35818519,3.580585,3805097739,106.232693
9,tunnel,baseline,9179,10.002925,35826263,3.581579,3806627002,106.252416
10,tunnel,baseline,9179,10.003311,35831812,3.581995,3806251798,106.225490
