run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,tunnel,kfunc_rdpmc,9911,10.003289,41131035,4.111751,8352173138,203.062557
2,tunnel,kfunc_rdpmc,9911,10.003795,41121032,4.110543,8351808060,203.103075
3,tunnel,kfunc_rdpmc,9911,10.003302,41113014,4.109944,8351310004,203.130571
4,tunnel,kfunc_rdpmc,9911,10.003267,41110414,4.109699,8350927116,203.134104
5,tunnel,kfunc_rdpmc,9911,10.003055,41082330,4.106978,8351398865,203.284450
6,tunnel,kfunc_rdpmc,9911,10.003465,41115991,4.110175,8352672315,203.148997
7,tunnel,kfunc_rdpmc,9911,10.003242,41115797,4.110247,8352735480,203.151491
8,tunnel,kfunc_rdpmc,9911,10.003022,41090180,4.107777,8348669117,203.179181
9,tunnel,kfunc_rdpmc,9911,10.003294,41132864,4.111932,8357623833,203.186042
10,tunnel,kfunc_rdpmc,9911,10.003317,41111989,4.109836,8350886875,203.125343
