run,workload,variant,prog_id,elapsed_s,delta_run_cnt,mpps,delta_run_time_ns,ns_per_pkt
1,tunnel,native_rdpmc,9545,10.003515,42326347,4.231147,8303959754,196.188907
2,tunnel,native_rdpmc,9545,10.003142,42322888,4.230959,8299904716,196.109129
3,tunnel,native_rdpmc,9545,10.003617,42320393,4.230509,8298563886,196.089008
4,tunnel,native_rdpmc,9545,10.003773,42330629,4.231466,8304200154,196.174740
5,tunnel,native_rdpmc,9545,10.003553,42333009,4.231797,8296781194,195.988459
6,tunnel,native_rdpmc,9545,10.003103,42331737,4.231861,8301323818,196.101658
7,tunnel,native_rdpmc,9545,10.003103,42299612,4.228649,8298765244,196.190103
8,tunnel,native_rdpmc,9545,10.003550,42363233,4.234820,8302911004,195.993328
9,tunnel,native_rdpmc,9545,10.003723,42287740,4.227200,8287322050,195.974579
10,tunnel,native_rdpmc,9545,10.003292,42327215,4.231329,8298384555,196.053167
